,DescriptionA,DescriptionB,freqAB,freqAB,confidenceAtoB,confidenceBtoA,lift,Product_Relationship
1,BLUE HANGING GINGHAM EASTER HEN,PINK HANGING GINGHAM EASTER HEN,4,4,0.8,0.8,32.086400000000005,Positive Relationship
2,SET 10 CHRISTMAS CARDS HOHOHO 16956,SET 10 CARDS JINGLE BELLS 16957,3,3,0.7500000000000001,0.6000000000000001,30.08100000000001,Positive Relationship
3,RESIN BRACELET W PASTEL BEADS,RESIN NECKLACE W PASTEL BEADS,3,3,1.0,0.4285714285714286,28.648571428571426,Positive Relationship
4,ROUND BLUE CLOCK WITH SUCKER,FLOWER PURPLE CLOCK W/SUCKER,4,4,0.8,0.5714285714285714,22.918857142857142,Positive Relationship
5,ROUND BLUE CLOCK WITH SUCKER,FLOWER PURPLE CLOCK WITH SUCKER,4,4,0.8,0.5714285714285714,22.918857142857142,Positive Relationship
6,ROUND BLUE CLOCK WITH SUCKER,,4,4,0.8,0.5714285714285714,22.918857142857142,Positive Relationship
7,,FLOWER PURPLE CLOCK W/SUCKER,4,4,0.8,0.5714285714285714,22.918857142857142,Positive Relationship
8,,FLOWER PURPLE CLOCK WITH SUCKER,4,4,0.8,0.5714285714285714,22.918857142857142,Positive Relationship
9,,,4,4,0.8,0.5714285714285714,22.918857142857142,Positive Relationship
10,SET 10 XMAS CARDS & BADGES 17070,SET 10 CARDS JINGLE BELLS 16957,3,3,0.5,0.6000000000000001,20.054000000000002,Positive Relationship
11,12 HANGING EGGS HAND PAINTED,HAND PAINTED HANGING EASTER EGG,3,3,0.30000000000000004,1.0,20.054000000000002,Positive Relationship
12,RED PEONY CUSHION COVER ,GREEN PEONY CUSHION COVER,3,3,0.6000000000000001,0.5,20.054000000000002,Positive Relationship
13,WHITE VINT ART DECO CRYSTAL NECKLAC,BLACK VINT ART DEC CRYSTAL NECKLACE,4,4,0.5,0.6666666666666665,16.711666666666666,Positive Relationship
14,PURPLE GEMSTONE BRACELET,PURPLE GEMSTONE NECKLACE 45CM,4,4,0.4,0.8,16.043200000000002,Positive Relationship
15,check,PURPLE GEMSTONE NECKLACE 45CM,4,4,0.4,0.8,16.043200000000002,Positive Relationship
16,SET 10 CARDS SNOWY SNOWDROPS  17100,SET 10 CARDS DRESSING UP 17077,3,3,0.7500000000000001,0.30000000000000004,15.040500000000005,Positive Relationship
17,ASSTD DESIGN BUBBLE GUM RING,FAIRY CAKE NOTEBOOK A5 SIZE,3,3,0.7500000000000001,0.30000000000000004,15.040500000000005,Positive Relationship
18,ASSTD DESIGN BUBBLE GUM RING,,3,3,0.7500000000000001,0.30000000000000004,15.040500000000005,Positive Relationship
19,,FAIRY CAKE NOTEBOOK A5 SIZE,3,3,0.7500000000000001,0.30000000000000004,15.040500000000005,Positive Relationship
20,,,3,3,0.7500000000000001,0.30000000000000004,15.040500000000005,Positive Relationship
21,PURPLE/COPPER HANGING LAMPSHADE,BLUE WHITE PLASTIC RINGS LAMPSHADE,3,3,0.37500000000000006,0.6000000000000001,15.040500000000005,Positive Relationship
22,SET 4 PICNIC CUTLERY FONDANT,SET 4 PICNIC CUTLERY BLUEBERRY,4,4,0.6666666666666665,0.4444444444444444,14.854814814814812,Positive Relationship
23,WHITE VINTAGE CRYSTAL BRACELET,WHITE/PINK CHICK EASTER DECORATION,4,4,0.8,0.36363636363636365,14.584727272727275,Positive Relationship
24,LOVE POTION MASALA INCENSE,TRANQUILITY MASALA INCENSE,4,4,0.5,0.5714285714285714,14.324285714285715,Positive Relationship
25,DOORMAT BLACK FLOCK ,JUMBO BAG STRAWBERRY,5,5,0.7142857142857142,0.5,14.324285714285715,Positive Relationship
26,DIAMANTE BOW BROOCH BLACK COLOUR,DIAMANTE BOW BROOCH RED COLOUR,5,5,0.8333333333333331,0.4166666666666666,13.926388888888885,Positive Relationship
27,DIAMANTE BOW BROOCH BLACK COLOUR,,5,5,0.8333333333333331,0.4166666666666666,13.926388888888885,Positive Relationship
28,,DIAMANTE BOW BROOCH RED COLOUR,5,5,0.8333333333333331,0.4166666666666666,13.926388888888885,Positive Relationship
29,,,5,5,0.8333333333333331,0.4166666666666666,13.926388888888885,Positive Relationship
30,LITTLE PINK MONSTER SOFT TOY,LITTLE GREEN MONSTER SOFT TOY,8,8,0.8888888888888888,0.6153846153846153,13.71213675213675,Positive Relationship
31,PINK BREAKFAST CUP AND SAUCER ,PINK GAUZE BUTTERFLY LAMPSHADE,3,3,0.27272727272727276,0.7500000000000001,13.673181818181822,Positive Relationship
32,,PINK GAUZE BUTTERFLY LAMPSHADE,3,3,0.27272727272727276,0.7500000000000001,13.673181818181822,Positive Relationship
33,PINK HEART DOTS HOT WATER BOTTLE,ASSTD DESIGN BUBBLE GUM RING,3,3,0.27272727272727276,0.7500000000000001,13.673181818181822,Positive Relationship
34,PINK HEART DOTS HOT WATER BOTTLE,,3,3,0.27272727272727276,0.7500000000000001,13.673181818181822,Positive Relationship
35,,ASSTD DESIGN BUBBLE GUM RING,3,3,0.27272727272727276,0.7500000000000001,13.673181818181822,Positive Relationship
36,,,3,3,0.27272727272727276,0.7500000000000001,13.673181818181822,Positive Relationship
37,WINE BOTTLE DRESSING LT.BLUE,COLOURFUL FLOWER FRUIT BOWL,3,3,0.7500000000000001,0.27272727272727276,13.673181818181822,Positive Relationship
38,damaged,COLOURFUL FLOWER FRUIT BOWL,3,3,0.7500000000000001,0.27272727272727276,13.673181818181822,Positive Relationship
39,SPOTTED WHITE NATURAL SEED NECKLACE,BROWN KUKUI COCONUT SEED NECKLACE,5,5,0.7142857142857142,0.45454545454545453,13.022077922077921,Positive Relationship
40,BROWN KUKUI COCONUT SEED NECKLACE,BILI NUT AND WOOD NECKLACE,5,5,0.45454545454545453,0.7142857142857142,13.022077922077921,Positive Relationship
41,FRENCH CHATEAU OVAL PLATTER,,3,3,0.5,0.37500000000000006,12.533750000000001,Positive Relationship
42,FRENCH CHATEAU OVAL PLATTER,FRENCH CHATEAU SMALL FRUITBOWL,3,3,0.5,0.37500000000000006,12.533750000000001,Positive Relationship
43,,,3,3,0.5,0.37500000000000006,12.533750000000001,Positive Relationship
44,,FRENCH CHATEAU SMALL FRUITBOWL,3,3,0.5,0.37500000000000006,12.533750000000001,Positive Relationship
45,BLUE/YELLOW FLOWER DESIGN BIG MUG,GREEN/BLUE FLOWER DESIGN BIG MUG,6,6,0.5,0.7500000000000001,12.533750000000001,Positive Relationship
47,SPOTTED WHITE NATURAL SEED NECKLACE,BILI NUT AND WOOD NECKLACE,3,3,0.4285714285714286,0.4285714285714286,12.27795918367347,Positive Relationship
48,AMBER GLASS TASSLE BAG CHARM,PURPLE GLASS TASSLE BAG CHARM,6,6,0.8571428571428572,0.4285714285714286,12.27795918367347,Positive Relationship
49,ROUND BLUE CLOCK WITH SUCKER,FLOWER BLUE CLOCK WITH SUCKER,3,3,0.6000000000000001,0.30000000000000004,12.032400000000004,Positive Relationship
50,ROUND BLUE CLOCK WITH SUCKER,,3,3,0.6000000000000001,0.30000000000000004,12.032400000000004,Positive Relationship
51,,FLOWER BLUE CLOCK WITH SUCKER,3,3,0.6000000000000001,0.30000000000000004,12.032400000000004,Positive Relationship
52,,,3,3,0.6000000000000001,0.30000000000000004,12.032400000000004,Positive Relationship
53,WOODLAND LARGE BLUE FELT HEART,SET 10 CARDS MAGICAL TREE 17086,3,3,0.23076923076923078,0.7500000000000001,11.569615384615387,Positive Relationship
54,FLOWER PURPLE CLOCK W/SUCKER,FLOWER BLUE CLOCK WITH SUCKER,4,4,0.5714285714285714,0.4,11.459428571428571,Positive Relationship
55,FLOWER PURPLE CLOCK W/SUCKER,,4,4,0.5714285714285714,0.4,11.459428571428571,Positive Relationship
56,FLOWER PURPLE CLOCK WITH SUCKER,FLOWER BLUE CLOCK WITH SUCKER,4,4,0.5714285714285714,0.4,11.459428571428571,Positive Relationship
57,FLOWER PURPLE CLOCK WITH SUCKER,,4,4,0.5714285714285714,0.4,11.459428571428571,Positive Relationship
58,,FLOWER BLUE CLOCK WITH SUCKER,4,4,0.5714285714285714,0.4,11.459428571428571,Positive Relationship
59,,,4,4,0.5714285714285714,0.4,11.459428571428571,Positive Relationship
60,TURQUOISE BERTIE GLASS BEAD CHARM,PINK BERTIE GLASS BEAD BAG CHARM,4,4,0.5714285714285714,0.4,11.459428571428571,Positive Relationship
61,SET 4 PICNIC CUTLERY CHERRY ,SET 4 PICNIC CUTLERY FONDANT,3,3,0.33333333333333337,0.5,11.141111111111112,Positive Relationship
